danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.63,0.569,-7.495,0.031,0.0726,0.000136,0.272,0.523,84.982,3.9473333333333334
0.549,0.524,-9.319,0.0522,0.597,0.0154,0.0996,0.329,129.773,3.7241833333333334
0.324,0.588,-8.32,0.0328,0.433,0.0492,0.184,0.316,92.016,8.609116666666667
0.564,0.76,-7.243,0.0451,0.273,0.0,0.124,0.6,117.932,3.4962833333333334
0.73,0.669,-7.934,0.0565,0.58,0.0036,0.103,0.848,118.209,4.778883333333333
0.454,0.691,-6.173,0.0344,0.193,1.33e-06,0.105,0.405,78.539,3.16025
0.362,0.872,-2.769,0.0502,0.0588,8.64e-06,0.123,0.617,164.865,3.61215
0.631,0.0341,-11.791,0.0514,0.93,0.926,0.101,0.291,78.997,2.142516666666667
0.542,0.347,-14.011,0.0268,0.783,0.0,0.144,0.596,103.709,2.354
0.565,0.755,-7.402,0.0406,0.258,0.00976,0.219,0.499,172.01,3.2347166666666665
0.865,0.694,-6.358,0.0431,0.252,0.000842,0.11,0.661,103.988,3.5656333333333334
0.449,0.541,-10.299,0.0417,0.0873,0.0,0.17,0.276,125.156,2.984933333333333
0.512,0.55,-8.264,0.0272,0.00688,0.000839,0.106,0.48,99.905,3.6432166666666665
0.83,0.631,-5.238,0.0313,0.0022,0.0359,0.0539,0.877,128.013,3.7131166666666666
0.403,0.732,-7.386,0.0452,0.748,0.379,0.114,0.195,162.576,4.186216666666667
0.601,0.478,-14.561,0.0295,0.372,0.867,0.326,0.486,111.028,5.479716666666667
0.393,0.385,-10.985,0.0396,0.547,0.0,0.545,0.777,177.956,3.2348833333333333
0.579,0.477,-8.539,0.0367,0.127,0.0,0.0974,0.537,89.724,4.668216666666667
0.809,0.434,-10.688,0.0363,0.579,0.47,0.0827,0.788,120.034,3.832666666666667
0.783,0.579,-11.799,0.281,0.944,0.147,0.12,0.37,155.79,3.2123166666666667
0.756,0.672,-6.847,0.0454,0.198,0.387,0.0859,0.642,97.987,3.6456166666666667
0.715,0.464,-7.807,0.0416,0.0757,0.000588,0.221,0.411,108.995,3.1633833333333334
0.823,0.551,-11.649,0.0372,0.112,0.412,0.092,0.962,100.987,3.06345
0.694,0.648,-7.954,0.0377,0.139,0.85,0.0628,0.0913,115.005,4.43055
0.714,0.759,-12.869,0.0389,0.0116,0.248,0.0998,0.849,119.994,6.922883333333333
0.488,0.663,-12.098,0.0325,0.591,0.908,0.118,0.246,97.021,3.6679
0.563,0.872,-6.548,0.053,0.117,0.00108,0.103,0.886,124.2,5.883933333333333
0.881,0.546,-9.357,0.0407,0.0532,0.000149,0.0497,0.852,102.814,5.340216666666667
0.873,0.505,-11.147,0.0308,0.67,0.269,0.136,0.69,110.007,3.5002166666666668
0.902,0.438,-8.63,0.0493,0.503,0.135,0.101,0.943,118.048,4.142
0.711,0.451,-9.588,0.119,0.569,8.33e-06,0.307,0.17,135.003,3.075283333333333
0.828,0.492,-9.744,0.0276,0.0644,0.00428,0.128,0.789,120.151,4.296666666666667
0.656,0.621,-12.766,0.0387,0.384,0.695,0.177,0.776,105.012,3.744666666666667
0.784,0.424,-8.137,0.0353,0.413,0.000316,0.0909,0.451,100.038,3.7406333333333333
0.644,0.299,-15.011,0.0634,0.699,0.111,0.114,0.207,163.942,2.8583833333333333
0.559,0.241,-8.97,0.0342,0.899,4.3e-06,0.11,0.351,131.481,3.6915333333333336
0.427,0.684,-6.487,0.0353,0.0956,0.0196,0.12,0.606,204.429,3.1548833333333333
0.748,0.299,-9.114,0.0774,0.945,0.288,0.111,0.344,73.017,2.7413333333333334
0.699,0.812,-6.005,0.0377,0.0164,0.000763,0.105,0.662,138.185,4.61155
0.377,0.387,-11.688,0.029,0.89,0.427,0.108,0.644,149.126,3.48645
0.593,0.926,-5.361,0.0319,0.0355,0.0582,0.311,0.945,100.011,3.07245
0.68,0.863,-7.052,0.05,0.776,0.489,0.143,0.866,112.055,2.15685
0.62,0.669,-7.339,0.103,0.359,0.128,0.166,0.527,110.772,3.4638
0.646,0.615,-12.868,0.0913,0.785,0.00234,0.269,0.664,95.988,3.91245
0.814,0.52,-5.651,0.0418,0.832,0.0,0.273,0.734,129.949,3.084616666666667
0.644,0.599,-7.941,0.0291,0.0445,0.0,0.286,0.948,111.829,3.23155
0.597,0.175,-17.509,0.0397,0.952,0.0948,0.114,0.215,122.929,3.637783333333333
